id,classification
240000,6
240001,8
240002,9
240003,0
240004,4
240005,4
240006,6
240007,7
240008,9
240009,2
240010,5
240011,9
240012,2
240013,4
240014,1
240015,7
240016,3
240017,4
240018,4
240019,3
240020,5
240021,9
240022,5
240023,5
240024,7
240025,8
240026,4
240027,8
240028,6
240029,4
240030,6
240031,9
240032,7
240033,2
240034,8
240035,0
240036,9
240037,2
240038,8
240039,5
240040,4
240041,4
240042,9
240043,2
240044,2
240045,9
240046,3
240047,8
240048,1
240049,4
240050,2
240051,9
240052,3
240053,9
240054,2
240055,8
240056,0
240057,9
240058,6
240059,1
240060,5
240061,1
240062,1
240063,5
240064,7
240065,4
240066,4
240067,8
240068,6
240069,5
240070,6
240071,1
240072,5
240073,7
240074,0
240075,6
240076,4
240077,9
240078,9
240079,7
240080,1
240081,8
240082,5
240083,6
240084,6
240085,4
240086,4
240087,8
240088,6
240089,3
240090,4
240091,7
240092,9
240093,7
240094,3
240095,7
240096,3
240097,0
240098,3
240099,2
240100,4
240101,8
240102,2
240103,3
240104,6
240105,1
240106,1
240107,0
240108,4
240109,0
240110,7
240111,8
240112,5
240113,5
240114,9
240115,5
240116,0
240117,0
240118,9
240119,8
240120,3
240121,8
240122,5
240123,1
240124,5
240125,7
240126,0
240127,3
240128,2
240129,5
240130,5
240131,7
240132,5
240133,6
240134,2
240135,6
240136,0
240137,8
240138,1
240139,8
240140,5
240141,9
240142,0
240143,0
240144,2
240145,9
240146,8
240147,4
240148,8
240149,7
240150,2
240151,7
240152,6
240153,7
240154,7
240155,7
240156,4
240157,9
240158,4
240159,1
240160,9
240161,4
240162,1
240163,4
240164,4
240165,2
240166,7
240167,3
240168,0
240169,4
240170,6
240171,7
240172,2
240173,1
240174,5
240175,2
240176,2
240177,9
240178,9
240179,2
240180,9
240181,0
240182,9
240183,1
240184,5
240185,8
240186,3
240187,2
240188,3
240189,6
240190,3
240191,0
240192,5
240193,0
240194,1
240195,0
240196,0
240197,3
240198,4
240199,2
240200,6
240201,5
240202,5
240203,8
240204,6
240205,6
240206,5
240207,0
240208,3
240209,2
240210,4
240211,6
240212,6
240213,7
240214,9
240215,8
240216,7
240217,7
240218,2
240219,7
240220,0
240221,2
240222,7
240223,4
240224,9
240225,2
240226,2
240227,5
240228,1
240229,4
240230,1
240231,1
240232,1
240233,9
240234,5
240235,7
240236,0
240237,5
240238,7
240239,3
240240,1
240241,2
240242,9
240243,3
240244,8
240245,3
240246,8
240247,5
240248,6
240249,6
240250,8
240251,1
240252,3
240253,9
240254,9
240255,4
240256,5
240257,3
240258,3
240259,0
240260,8
240261,6
240262,0
240263,7
240264,6
240265,5
240266,6
240267,0
240268,7
240269,7
240270,1
240271,3
240272,4
240273,5
240274,3
240275,7
240276,7
240277,7
240278,9
240279,7
